spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
31.45549,13.710078,-1.774399,-53.59314,0.062436,0.5971,1.5497,16.128891,0.595509,0.111708,228.549,4.46061,26.673,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863063,1926510,1,1,1,0,1,32768,0,4
39.518768,12.851924,-1.848858,-55.242657,4.473289,0.080682,6.0599,15.986413,0.956459,0.19027,228.048,4.392713,26.673,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863161,1926602,1,1,1,0,7,32768,0,4
33.913975,8.971185,-6.129506,-55.718315,1.259231,1.211591,3.7846,17.561077,1.043697,0.181044,228.048,4.329091,26.673,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863269,1926703,1,1,1,0,13,32768,0,4
30.711969,13.262615,-2.387489,-54.972782,0.697156,0.441058,41.6302,16.932278,0.365137,0.345923,228.048,4.400058,26.671,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863544,1926993,1,1,1,0,18,32768,0,4
37.597622,7.685993,-7.43094,-56.472244,1.164588,0.182928,12.4308,17.51638,1.080058,0.259533,227.667,4.308701,26.671,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863655,1927086,1,1,1,0,20,32768,0,4
33.045425,12.694944,-1.328963,-55.559456,3.811654,0.317082,53.0377,16.738503,0.748192,0.397069,227.667,4.44557,26.671,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548863736,1927184,1,1,1,0,20,32768,0,4
31.904659,13.089471,-1.356899,-56.627575,0.996605,0.947528,55.3839,17.367584,0.941444,0.009785,227.667,4.44209,26.677,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864042,1927284,1,1,1,0,20,32768,0,4
30.576021,5.610797,-10.733492,-50.56926,1.593071,0.276164,4.5361,16.522739,1.321396,0.524091,227.667,4.506366,26.677,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864070,1927479,1,1,1,0,20,32768,0,4
33.200008,5.00496,-10.59752,-52.299828,1.480493,0.017749,3.8291,16.554735,1.216573,0.032991,227.58,4.51826,26.677,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864124,1927573,1,1,1,0,20,32768,0,4
33.433598,10.201977,-4.773739,-47.338829,3.045623,0.695941,22.3067,16.760803,0.986517,0.704226,227.58,4.263709,26.677,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864235,1927668,1,1,1,0,20,32768,0,4
31.737917,9.472059,-5.355201,-54.680511,5.575511,0.726272,53.8714,16.723888,1.091391,0.037746,227.58,4.276584,26.677,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864343,1927768,1,1,1,0,20,32768,0,4
35.571747,9.901451,-5.180674,-48.101357,2.352897,0.129303,6.0377,16.664904,0.99441,0.369488,227.58,4.516148,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864558,1927965,1,1,1,0,20,32768,0,4
32.020241,11.259563,-4.574572,-48.709114,5.58809,0.370506,69.3809,16.60004,0.422896,0.77629,227.58,4.23568,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864612,1928059,1,1,1,0,20,32768,0,4
32.968407,8.565918,-6.318757,-48.247608,13.728621,0.502339,23.3744,16.456362,1.183967,0.1107,227.624,4.198168,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864724,1928154,1,1,1,0,20,32768,0,4
32.992203,4.849658,-12.152082,-52.534256,3.713743,0.749433,23.6111,16.056934,1.082128,0.348845,227.624,4.31533,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548864805,1928254,1,1,1,0,20,32768,0,4
35.076729,7.655386,-7.893749,-49.902512,12.358008,0.329787,5.5778,16.69257,0.998359,0.064284,227.624,4.316443,26.688,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865058,1928455,1,1,1,0,20,32768,0,4
32.74374,13.52667,-1.594964,-49.307972,6.238199,0.311374,2.5256,16.429604,0.597209,0.262857,227.624,4.407212,26.688,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865111,1928549,1,1,1,0,20,32768,0,4
34.695358,12.243492,-2.249962,-51.460094,5.723257,1.207467,53.7994,16.207542,1.106414,0.326988,227.408,4.291923,26.688,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865196,1928641,1,1,1,0,20,32768,0,4
32.143036,7.925666,-6.923205,-55.069012,12.642651,0.617069,21.9277,17.06304,1.130435,0.053563,227.408,4.273532,26.688,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865305,1928742,1,1,1,0,20,32768,0,4
31.777487,7.703718,-10.447771,-45.740891,6.25431,0.901512,2.3904,15.856537,0.64713,0.097876,227.408,4.190969,26.685,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865578,1928942,1,1,1,0,20,32768,0,4
35.108528,13.367849,-1.555662,-54.043739,0.069447,0.855264,0.7157,16.860344,0.546508,0.75401,227.408,4.443772,26.685,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865592,1929040,1,1,1,0,20,32768,0,4
39.821167,12.269367,-2.148997,-53.614849,27.300259,0.904667,9.3098,16.271904,1.142113,0.390665,227.378,4.30489,26.685,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865687,1929132,1,1,1,0,20,32768,0,4
30.325556,7.774673,-7.089058,-52.738182,0.516151,0.32924,20.0197,16.355761,1.10503,0.18837,227.378,4.369763,26.685,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548865798,1929233,1,1,1,0,20,32768,0,4
32.172367,13.345379,-1.055673,-54.512436,3.308912,0.251557,82.0171,17.772867,0.654731,0.214149,227.378,4.444625,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866104,1929331,1,1,1,0,20,32768,0,4
35.438763,10.220827,-5.756213,-46.74807,4.849785,0.581321,85.5329,15.7784,0.71271,0.599918,227.378,4.154059,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866132,1929525,1,1,1,0,20,32768,0,4
34.479412,4.758221,-12.603828,-49.477669,2.206883,1.265086,0.9183,16.024767,0.90282,1.088571,227.378,4.51582,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866185,1929620,1,1,1,0,20,32768,0,4
37.373028,12.897588,-1.738241,-34.008278,2.721854,0.213327,0,17.04635,0.913845,0.0801,227.164,4.486882,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866269,1929714,1,1,1,0,20,32768,0,4
35.999142,8.013793,-6.832031,-52.750378,4.529586,0.358536,62.2914,16.132013,0.794748,0.004797,227.164,4.48516,26.682,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866364,1929812,1,1,1,0,20,32768,0,4
34.85693,6.819173,-8.690964,-52.193092,5.60061,0.588405,3.7684,15.856625,1.204743,0.728033,227.164,4.574638,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866622,1930011,1,1,1,0,20,32768,0,4
31.516674,13.160138,-2.294045,-49.718094,6.284952,0.645104,1.2965,16.69556,0.85395,0.328949,227.164,4.454252,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866676,1930105,1,1,1,0,20,32768,0,4
34.687046,4.922602,-11.392544,-53.726841,1.297847,1.069899,11.8943,16.433319,1.225027,0.435005,227,4.299242,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866760,1930199,1,1,1,0,20,32768,0,4
33.477894,4.617772,-12.689857,-51.438938,12.879252,0.801194,13.8409,16.326807,1.172427,0.11914,227,4.258265,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548866854,1930299,1,1,1,0,20,32768,0,4
29.306471,11.327065,-4.123917,-50.404579,0.074125,1.08601,0.6801,15.136968,0.662363,0.544271,227,4.511111,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548867141,1930595,1,1,1,0,20,32768,0,4
38.467255,11.933897,-2.595559,-54.453106,6.580531,0.753047,3.2918,17.44696,0.975859,0.036059,226.873,4.498097,26.68,0,Vacuum_Cleaner,sess_1775548845659__steady_02,1775548867238,1930687,1,1,1,0,20,32768,0,4
